evaluation_period,group_type,group_value,model,n,mae,rmse,wape,smape,uncensored_n
2024-06-26 to 2024-07-02,store,848,seasonal_naive,14,1.1285714285714286,1.633576269591178,0.7860696517412935,0.9497100515050568,14
2024-06-26 to 2024-07-02,store,848,xgb_observed_sales,14,0.639656605039324,1.0658758666856762,0.44553196370898185,0.5105002701213274,14
2024-06-26 to 2024-07-02,store,848,xgb_stockout_aware,14,0.6381664872169495,1.0781380145518837,0.4444940706983727,0.48317503104475,14
2024-06-26 to 2024-07-02,store,849,seasonal_naive,7,0.857142857142857,1.0323343865794095,0.7407407407407407,0.8784424984346076,6
2024-06-26 to 2024-07-02,store,849,xgb_observed_sales,7,0.5799947432109288,0.6855739757607435,0.501230024997099,0.6198833481938488,6
2024-06-26 to 2024-07-02,store,849,xgb_stockout_aware,7,0.5860555819102696,0.6705947193048787,0.5064677868360355,0.627430291948499,6
2024-06-26 to 2024-07-02,store,874,seasonal_naive,7,0.2571428571428572,0.32071349029490925,1.2,0.8346938775510205,7
2024-06-26 to 2024-07-02,store,874,xgb_observed_sales,7,0.2172595305102212,0.23130473032163704,1.013877809047699,0.7830785621546378,7
2024-06-26 to 2024-07-02,store,874,xgb_stockout_aware,7,0.22317427396774295,0.23054975769933234,1.0414799451828005,0.7981342680313013,7
2024-06-26 to 2024-07-02,store,875,seasonal_naive,21,0.4904761904761905,0.6051367417290708,0.673202614379085,0.7698756270184842,17
2024-06-26 to 2024-07-02,store,875,xgb_observed_sales,21,0.31190997262795767,0.3958213835152377,0.4281117271364125,0.6179711838089561,17
2024-06-26 to 2024-07-02,store,875,xgb_stockout_aware,21,0.36280571321646377,0.4672157507655759,0.4979686259833816,0.6217079415250664,17
2024-06-26 to 2024-07-02,store,886,seasonal_naive,14,1.1071428571428572,1.3424391446701998,0.7380952380952381,0.7109095954040343,14
2024-06-26 to 2024-07-02,store,886,xgb_observed_sales,14,0.8597434818744658,1.0194298966772353,0.573162321249644,0.6175193023421304,14
2024-06-26 to 2024-07-02,store,886,xgb_stockout_aware,14,0.9864668990884508,1.127409465811575,0.6576445993923005,0.6753028221597802,14
2024-06-26 to 2024-07-02,store,894,seasonal_naive,7,0.15714285714285717,0.1889822365046136,0.5238095238095238,0.7402597402597403,4
2024-06-26 to 2024-07-02,store,894,xgb_observed_sales,7,0.11580535854612076,0.1405747295372064,0.38601786182040254,0.5633432506957938,4
2024-06-26 to 2024-07-02,store,894,xgb_stockout_aware,7,0.20199193358421327,0.24066887913735474,0.6733064452807108,0.7026521105560317,4
2024-06-26 to 2024-07-02,store,895,seasonal_naive,7,0.45714285714285713,0.529150262212918,0.4571428571428572,0.44857142857142857,7
2024-06-26 to 2024-07-02,store,895,xgb_observed_sales,7,0.30444199868610927,0.3623711410725429,0.3044419986861093,0.3112736871284089,7
2024-06-26 to 2024-07-02,store,895,xgb_stockout_aware,7,0.3258180975914001,0.35434190393450776,0.3258180975914001,0.3307723623218704,7
2024-06-26 to 2024-07-02,store,896,seasonal_naive,14,0.55,0.7146427679017578,0.5422535211267606,0.6086697218798415,10
2024-06-26 to 2024-07-02,store,896,xgb_observed_sales,14,0.5085047751665115,0.6091098233633911,0.5013427360796593,0.6196785487188607,10
2024-06-26 to 2024-07-02,store,896,xgb_stockout_aware,14,0.5017074806349618,0.5829460149072606,0.49464117809080743,0.620615679986329,10
2024-06-26 to 2024-07-02,store,897,seasonal_naive,35,0.4628571428571429,0.8495376894018805,0.3145631067961166,0.6661839949440067,28
2024-06-26 to 2024-07-02,store,897,xgb_observed_sales,35,0.5289228892326354,0.9466313583972976,0.35946215773091733,0.43457602571507153,28
2024-06-26 to 2024-07-02,store,897,xgb_stockout_aware,35,0.5036452707222528,0.8166915279681843,0.34228319369473503,0.4342099485604236,28
2024-06-26 to 2024-07-02,product,0,seasonal_naive,14,0.19999999999999998,0.2507132682112035,0.30434782608695654,0.3121739371739371,4
2024-06-26 to 2024-07-02,product,0,xgb_observed_sales,14,0.20046505204268864,0.2542438719696946,0.30505551397800446,0.31919528955283594,4
2024-06-26 to 2024-07-02,product,0,xgb_stockout_aware,14,0.20664749443531036,0.27225527123668014,0.3144635784885158,0.3292292800735845,4
2024-06-26 to 2024-07-02,product,1,seasonal_naive,7,1.4285714285714286,1.7631141280618874,0.5681818181818181,0.8304924867616899,5
2024-06-26 to 2024-07-02,product,1,xgb_observed_sales,7,1.1620804446084159,1.2446060497796871,0.46219108592380176,0.6581286322323574,5
2024-06-26 to 2024-07-02,product,1,xgb_stockout_aware,7,1.1250596080507551,1.212271206038856,0.44746688956564123,0.6320493981902432,5
2024-06-26 to 2024-07-02,product,3,seasonal_naive,14,0.5357142857142857,0.7713624310270756,1.0416666666666667,0.8055734255424658,9
2024-06-26 to 2024-07-02,product,3,xgb_observed_sales,14,0.3803930446505546,0.5742903613811962,0.7396531423760785,1.205685847551084,9
2024-06-26 to 2024-07-02,product,3,xgb_stockout_aware,14,0.44262401589325495,0.5881499787572425,0.8606578086813291,1.1532911067501221,9
2024-06-26 to 2024-07-02,product,4,seasonal_naive,168,0.47023809523809523,0.7333874438911147,0.6677937447168216,0.7663144911448049,86
2024-06-26 to 2024-07-02,product,4,xgb_observed_sales,168,0.3821993327300463,0.5557019942766683,0.5427682831669297,0.7312212035682043,86
2024-06-26 to 2024-07-02,product,4,xgb_stockout_aware,168,0.4009123002711152,0.5602531518507354,0.5693429116276192,0.7791470795588159,86
2024-06-26 to 2024-07-02,product,6,seasonal_naive,56,0.3723214285714286,0.4833864913296606,0.3773072747014115,0.4341926854051485,38
2024-06-26 to 2024-07-02,product,6,xgb_observed_sales,56,0.3237487333480801,0.40413754113809514,0.32808413079067106,0.4081881236827388,38
2024-06-26 to 2024-07-02,product,6,xgb_stockout_aware,56,0.3123696092835494,0.3839835071093108,0.3165526261288231,0.3887324724390531,38
2024-06-26 to 2024-07-02,product,8,seasonal_naive,7,0.32857142857142857,0.4735881272643079,0.2584269662921348,0.3099105863081018,6
2024-06-26 to 2024-07-02,product,8,xgb_observed_sales,7,0.43929982525961747,0.49694651037601273,0.3455167164963283,0.3939137623434659,6
2024-06-26 to 2024-07-02,product,8,xgb_stockout_aware,7,0.44517404181616654,0.48174948519604127,0.35013688682170396,0.3995120101709226,6
2024-06-26 to 2024-07-02,product,9,seasonal_naive,7,0.15714285714285717,0.21044171232366052,0.31428571428571433,0.4363017934446506,2
2024-06-26 to 2024-07-02,product,9,xgb_observed_sales,7,0.12726010595049175,0.14748322276761616,0.2545202119009835,0.30441726238424377,2
2024-06-26 to 2024-07-02,product,9,xgb_stockout_aware,7,0.09013814159802028,0.12285096566560673,0.18027628319604055,0.19730368650145236,2
2024-06-26 to 2024-07-02,product,11,seasonal_naive,56,0.29107142857142865,0.3593148241544494,0.4312169312169314,0.501766483229572,41
2024-06-26 to 2024-07-02,product,11,xgb_observed_sales,56,0.2218581423163414,0.2850885480669498,0.32867872935754283,0.35722356767575275,41
2024-06-26 to 2024-07-02,product,11,xgb_stockout_aware,56,0.21841989063790868,0.27831156819685726,0.3235850231672721,0.35338636550961944,41
2024-06-26 to 2024-07-02,product,14,seasonal_naive,7,0.24285714285714288,0.29032002047002253,0.2931034482758621,0.32670760611937083,3
2024-06-26 to 2024-07-02,product,14,xgb_observed_sales,7,0.2549671513693673,0.3130353834596142,0.30771897579061575,0.3351373601432472,3
2024-06-26 to 2024-07-02,product,14,xgb_stockout_aware,7,0.2606825777462551,0.3197395475380482,0.3146169041765148,0.3454974379462135,3
2024-06-26 to 2024-07-02,product,17,seasonal_naive,7,0.35714285714285715,0.42594432902501644,0.6097560975609757,0.4741973712561948,6
2024-06-26 to 2024-07-02,product,17,xgb_observed_sales,7,0.169449588230678,0.200788730339851,0.28930417502798683,0.28475475017618707,6
2024-06-26 to 2024-07-02,product,17,xgb_stockout_aware,7,0.1871740460395813,0.21732165603571427,0.31956544445782176,0.312509222359476,6
2024-06-26 to 2024-07-02,product,18,seasonal_naive,7,0.24285714285714288,0.34016802570830457,0.30909090909090914,0.2786393345216875,4
2024-06-26 to 2024-07-02,product,18,xgb_observed_sales,7,0.16325274535587855,0.20805630523324617,0.20777622136202725,0.20962435390331052,4
2024-06-26 to 2024-07-02,product,18,xgb_stockout_aware,7,0.15624302455357145,0.19677068730971325,0.19885475852272727,0.19900622839021814,4
2024-06-26 to 2024-07-02,product,19,seasonal_naive,7,0.6571428571428571,0.7928249671720919,1.069767441860465,0.9265430657388813,1
2024-06-26 to 2024-07-02,product,19,xgb_observed_sales,7,0.3972287705966404,0.5110659840498786,0.6466514870177867,0.6315675058936111,1
2024-06-26 to 2024-07-02,product,19,xgb_stockout_aware,7,0.49120064462934215,0.6260758201704718,0.7996289563733477,0.7002132994652539,1
2024-06-26 to 2024-07-02,product,21,seasonal_naive,7,0.20000000000000004,0.2507132682112035,0.21212121212121215,0.21804511278195493,3
2024-06-26 to 2024-07-02,product,21,xgb_observed_sales,7,0.143876588344574,0.1714985257970554,0.15259638157757846,0.15229624898610886,3
2024-06-26 to 2024-07-02,product,21,xgb_stockout_aware,7,0.10080887249537876,0.1297807450927307,0.10691850113146231,0.10239905057207133,3
2024-06-26 to 2024-07-02,product,23,seasonal_naive,7,0.6857142857142858,0.7559289460184544,1.0666666666666669,0.7117685351652623,6
2024-06-26 to 2024-07-02,product,23,xgb_observed_sales,7,0.35015230519430973,0.4166458836560833,0.5446813636355929,0.4710381738920191,6
2024-06-26 to 2024-07-02,product,23,xgb_stockout_aware,7,0.32682584013257704,0.4117754517172143,0.508395751317342,0.4445740616445892,6
2024-06-26 to 2024-07-02,product,25,seasonal_naive,7,0.24285714285714288,0.3184785258515422,0.3148148148148148,0.3205856255545697,3
2024-06-26 to 2024-07-02,product,25,xgb_observed_sales,7,0.19949227571487427,0.23598356129504094,0.2586010981489111,0.272435929521766,3
2024-06-26 to 2024-07-02,product,25,xgb_stockout_aware,7,0.19486148016793386,0.21427856143747492,0.25259821503250685,0.2622610662577965,3
2024-06-26 to 2024-07-02,product,26,seasonal_naive,49,0.2861224489795919,0.34653385734400366,0.4421318196152634,0.4974908624214343,34
2024-06-26 to 2024-07-02,product,26,xgb_observed_sales,49,0.21327153373737723,0.27241839159225895,0.32955866140433565,0.36494523436450577,34
2024-06-26 to 2024-07-02,product,26,xgb_stockout_aware,49,0.20955167536832847,0.2630550431889404,0.3238105358892493,0.3640105241934431,34
2024-06-26 to 2024-07-02,product,27,seasonal_naive,7,0.1857142857142857,0.21712405933672377,1.2999999999999998,1.179591836734694,4
2024-06-26 to 2024-07-02,product,27,xgb_observed_sales,7,0.19472707680293494,0.22805297718209702,1.3630895376205445,0.9922928887525208,4
2024-06-26 to 2024-07-02,product,27,xgb_stockout_aware,7,0.20395907333918978,0.231638458237079,1.4277135133743284,1.0078477318701584,4
2024-06-26 to 2024-07-02,product,28,seasonal_naive,7,0.12857142857142856,0.16475089420958278,0.2647058823529411,0.2738404452690167,4
2024-06-26 to 2024-07-02,product,28,xgb_observed_sales,7,0.16987013731684003,0.1992783320285659,0.34973263565231766,0.35712078788229934,4
2024-06-26 to 2024-07-02,product,28,xgb_stockout_aware,7,0.17689820442880902,0.2119260728855557,0.3642021855887244,0.36963622362497256,4
2024-06-26 to 2024-07-02,product,37,seasonal_naive,63,0.6682539682539683,0.8418611279362878,0.5782967032967034,0.6672667864043521,59
2024-06-26 to 2024-07-02,product,37,xgb_observed_sales,63,0.5054956723773291,0.6666030532220448,0.43744817801884245,0.5010926740979977,59
2024-06-26 to 2024-07-02,product,37,xgb_stockout_aware,63,0.49794302743578717,0.6455099547296883,0.43091223528096967,0.49073047005591175,59
2024-06-26 to 2024-07-02,product,38,seasonal_naive,7,0.22857142857142856,0.3625307868699863,0.42105263157894735,1.2802498048399686,6
